METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2018,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.580828,Vf,0.601960,Vf,0.571412,Vf,0.602037,Vf,0.646034,Vf,0.516503,Vf,0.530392
Sf,0.926209,Sf,0.967101,Sf,0.868792,Sf,0.975901,Sf,0.997879,Sf,0.618251,Sf,0.692015
EG,-0.264553,EG,-0.263181,EG,-0.225968,EG,-0.271827,EG,-0.205811,EG,-0.085245,EG,-0.131231
PR,-0.345381,PR,-0.365141,PR,-0.297380,PR,-0.373864,PR,-0.351845,PR,-0.101748,PR,-0.161623
GAMMA,-0.197763,GAMMA,-0.306185,GAMMA,-0.078376,GAMMA,-0.353066,GAMMA,-0.476710,GAMMA,-0.011598,GAMMA,-0.023526
BS_50,-0.010410,BS_50,-0.001580,BS_50,-0.004490,BS_50,-0.009610,BS_50,0.001376,BS_50,-0.009234,BS_50,-0.018571
BV_50,-0.001414,BV_50,-0.000227,BV_50,-0.000725,BV_50,-0.001195,BV_50,0.000178,BV_50,-0.001328,BV_50,-0.002887
BS_V,0.013478,BS_V,0.007424,BS_V,0.017658,BS_V,0.006245,BS_V,0.000819,BS_V,-0.005750,BS_V,-0.003379
GS,-0.004161,GS,-0.003519,GS,-0.004451,GS,-0.003475,GS,0.003343,GS,-0.001377,GS,-0.003372
MM,-0.011790,MM,0.002063,MM,-0.000887,MM,-0.011886,MM,0.013463,MM,-0.008387,MM,-0.015399
LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.023319,LO,0.040423
DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,2.971525,DECL,4.695699
R,5.273033,R,4.581213,R,5.164279,R,4.664007,R,3.409336,R,7.165441,R,6.317962
r,2.826320,r,1.578222,r,4.066759,r,1.203826,r,0.144956,r,6.462668,r,5.543873
Sb,0.926209,Sb,0.967101,Sb,0.868792,Sb,0.975901,Sb,0.997879,Sb,0.618251,Sb,0.692015
Ra,0.963104,Ra,0.983550,Ra,0.934396,Ra,0.987951,Ra,0.998939,Ra,0.809126,Ra,0.846008
Rb,0.463104,Rb,0.483550,Rb,0.434396,Rb,0.487951,Rb,0.498939,Rb,0.309126,Rb,0.346008
Va,0.500000,Va,0.500000,Va,0.500000,Va,0.500000,Va,0.500000,Va,0.511562,Va,0.509425
Vb,0.415085,Vb,0.395734,Vb,0.420294,Vb,0.396369,Vb,0.353839,Vb,0.465119,Vb,0.450152
L_Vf,0.560000,L_Vf,0.580000,L_Vf,0.550000,L_Vf,0.580000,L_Vf,0.625000,L_Vf,0.495000,L_Vf,0.510000
L_Sf,0.858199,L_Sf,0.921413,L_Sf,0.779087,L_Sf,0.939015,L_Sf,0.992468,L_Sf,0.474476,L_Sf,0.579887
U_Vf,0.605000,U_Vf,0.625000,U_Vf,0.595000,U_Vf,0.625000,U_Vf,0.670000,U_Vf,0.540000,U_Vf,0.555000
U_Sf,0.977123,U_Sf,0.991770,U_Sf,0.948861,U_Sf,0.994165,U_Sf,0.999740,U_Sf,0.766088,U_Sf,0.823609
