METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.336263,0.330600,0.306953,0.342375,0.266240,0.437320,0.359668,0.340526,0.023440,0.068835,-0.004263,-0.012519,-0.181869
Sf,0.001131,0.002409,0.000115,0.004097,0.000000,0.152672,0.002211,0.026917,0.025159,0.934688,-0.025786,-0.957982,-1.024921
EG,0.171395,0.158791,0.113791,0.180653,0.032480,0.221968,0.217125,0.154135,0.029281,0.189970,0.017260,0.111980,0.589461
PR,0.335132,0.328191,0.306838,0.338278,0.266240,0.284648,0.357457,0.313609,0.013991,0.044613,0.021523,0.068630,1.538346
GAMMA,0.484102,0.468133,0.497759,0.452185,0.499998,0.080806,0.476863,0.412624,0.066773,0.161825,0.071478,0.173228,1.070463
BS_50,0.002041,-0.014619,-0.001884,-0.003882,0.002941,0.008632,0.004763,-0.000675,0.003344,-4.954074,0.002716,-4.023704,0.812201
BV_50,0.000306,-0.002743,-0.000276,-0.000695,0.000330,0.001361,0.000622,-0.000234,0.000580,-2.478632,0.000540,-2.307692,0.931034
BS_V,-0.000475,-0.001031,-0.000054,-0.001681,-0.000000,-0.008457,-0.000648,-0.001978,0.001321,-0.667846,0.001503,-0.759858,1.137774
GS,0.003508,-0.007724,-0.004507,-0.006131,0.000770,0.002698,0.001672,-0.002204,0.001817,-0.824410,0.005712,-2.591652,3.143643
MM,-0.007599,-0.011030,-0.005133,-0.003924,0.002210,-0.014799,-0.015024,-0.007950,0.002792,-0.351195,0.000351,-0.044151,0.125716
LO,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,nan
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,nan
R,3.046772,2.937372,2.589448,3.146090,2.138946,5.541284,3.547222,3.316727,0.486173,0.146582,-0.269955,-0.081392,-0.555265
r,0.090191,0.173897,0.011012,0.277354,0.000010,4.252100,0.149117,0.810582,0.689628,0.850781,-0.720391,-0.888733,-1.044608
Sb,0.001131,0.002409,0.000115,0.004097,0.000000,0.152672,0.002211,0.026917,0.025159,0.934688,-0.025786,-0.957982,-1.024921
Ra,0.500565,0.501205,0.500057,0.502049,0.500000,0.576336,0.501106,0.513459,0.012579,0.024499,-0.012894,-0.025112,-1.025042
Rb,0.000565,0.001205,0.000057,0.002049,0.000000,0.076336,0.001106,0.013459,0.012579,0.934616,-0.012894,-0.958021,-1.025042
Va,0.665287,0.670882,0.693507,0.659500,0.734673,0.573553,0.642124,0.662373,0.022043,0.033279,0.002914,0.004399,0.132196
Vb,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,nan
L_Vf,0.315000,0.310000,0.285000,0.320000,0.250000,0.415000,0.335000,0.319167,0.022709,0.071151,-0.004167,-0.013056,-0.183496
L_Sf,0.000146,0.000352,0.000009,0.000579,0.000000,0.069176,0.000253,0.011728,0.011490,0.979707,-0.011582,-0.987551,-1.008007
U_Vf,0.360000,0.355000,0.330000,0.365000,0.290000,0.460000,0.380000,0.363333,0.023226,0.063925,-0.003333,-0.009173,-0.143503
U_Sf,0.005197,0.009752,0.000697,0.014019,0.000001,0.256931,0.007955,0.048226,0.041799,0.866732,-0.043029,-0.892237,-1.029427
