METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.336263,Vf,0.330600,Vf,0.306953,Vf,0.342375,Vf,0.266240,Vf,0.437320,Vf,0.359668
Sf,0.001131,Sf,0.002409,Sf,0.000115,Sf,0.004097,Sf,0.000000,Sf,0.152672,Sf,0.002211
EG,0.171395,EG,0.158791,EG,0.113791,EG,0.180653,EG,0.032480,EG,0.221968,EG,0.217125
PR,0.335132,PR,0.328191,PR,0.306838,PR,0.338278,PR,0.266240,PR,0.284648,PR,0.357457
GAMMA,0.484102,GAMMA,0.468133,GAMMA,0.497759,GAMMA,0.452185,GAMMA,0.499998,GAMMA,0.080806,GAMMA,0.476863
BS_50,0.002041,BS_50,-0.014619,BS_50,-0.001884,BS_50,-0.003882,BS_50,0.002941,BS_50,0.008632,BS_50,0.004763
BV_50,0.000306,BV_50,-0.002743,BV_50,-0.000276,BV_50,-0.000695,BV_50,0.000330,BV_50,0.001361,BV_50,0.000622
BS_V,-0.000475,BS_V,-0.001031,BS_V,-0.000054,BS_V,-0.001681,BS_V,-0.000000,BS_V,-0.008457,BS_V,-0.000648
GS,0.003508,GS,-0.007724,GS,-0.004507,GS,-0.006131,GS,0.000770,GS,0.002698,GS,0.001672
MM,-0.007599,MM,-0.011030,MM,-0.005133,MM,-0.003924,MM,0.002210,MM,-0.014799,MM,-0.015024
LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000
DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000
R,3.046772,R,2.937372,R,2.589448,R,3.146090,R,2.138946,R,5.541284,R,3.547222
r,0.090191,r,0.173897,r,0.011012,r,0.277354,r,0.000010,r,4.252100,r,0.149117
Sb,0.001131,Sb,0.002409,Sb,0.000115,Sb,0.004097,Sb,0.000000,Sb,0.152672,Sb,0.002211
Ra,0.500565,Ra,0.501205,Ra,0.500057,Ra,0.502049,Ra,0.500000,Ra,0.576336,Ra,0.501106
Rb,0.000565,Rb,0.001205,Rb,0.000057,Rb,0.002049,Rb,0.000000,Rb,0.076336,Rb,0.001106
Va,0.665287,Va,0.670882,Va,0.693507,Va,0.659500,Va,0.734673,Va,0.573553,Va,0.642124
Vb,0.500000,Vb,0.500000,Vb,0.500000,Vb,0.500000,Vb,0.500000,Vb,0.500000,Vb,0.500000
L_Vf,0.315000,L_Vf,0.310000,L_Vf,0.285000,L_Vf,0.320000,L_Vf,0.250000,L_Vf,0.415000,L_Vf,0.335000
L_Sf,0.000146,L_Sf,0.000352,L_Sf,0.000009,L_Sf,0.000579,L_Sf,0.000000,L_Sf,0.069176,L_Sf,0.000253
U_Vf,0.360000,U_Vf,0.355000,U_Vf,0.330000,U_Vf,0.365000,U_Vf,0.290000,U_Vf,0.460000,U_Vf,0.380000
U_Sf,0.005197,U_Sf,0.009752,U_Sf,0.000697,U_Sf,0.014019,U_Sf,0.000001,U_Sf,0.256931,U_Sf,0.007955
