METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.431634,0.440734,0.425397,0.447921,0.378770,0.459789,0.437538,0.431692,0.011560,0.026778,-0.000058,-0.000134,-0.005017
Sf,0.156862,0.179210,0.149929,0.185863,0.142545,0.208498,0.165213,0.171876,0.009962,0.057960,-0.015014,-0.087354,-1.507127
EG,0.206406,0.202258,0.200865,0.209979,0.114995,0.211080,0.209863,0.191507,0.015404,0.080436,0.014899,0.077799,0.967216
PR,0.274772,0.261524,0.275468,0.262058,0.236225,0.251291,0.272325,0.259815,0.005884,0.022647,0.014957,0.057568,2.541978
GAMMA,0.285622,0.218114,0.311601,0.215100,0.344416,0.194420,0.263638,0.257881,0.024390,0.094579,0.027741,0.107573,1.137392
BS_50,0.115781,0.092948,0.138707,0.098711,0.124024,0.115971,0.117105,0.114578,0.006830,0.059610,0.001203,0.010499,0.176135
BV_50,0.016982,0.014463,0.020295,0.014888,0.018477,0.017870,0.017821,0.017302,0.000910,0.052595,-0.000320,-0.018495,-0.351648
BS_V,0.011755,0.023785,0.003774,0.037978,-0.063484,0.070612,0.027840,0.016751,0.018376,1.097009,-0.004996,-0.298251,-0.271876
GS,0.040470,0.034403,0.046956,0.034831,0.047232,0.037659,0.041162,0.040374,0.002343,0.058032,0.000096,0.002378,0.040973
MM,0.025676,0.032826,0.022890,0.027399,0.020217,0.032757,0.022941,0.026505,0.002200,0.083003,-0.000829,-0.031277,-0.376818
LO,0.031689,0.022502,0.036421,0.028536,0.000000,0.031409,0.038174,0.026174,0.005717,0.218423,0.005515,0.210705,0.964667
DECL,46.250948,39.798617,48.545639,39.381089,0.000000,35.542309,45.790868,34.843087,7.227942,0.207443,11.407861,0.327407,1.578300
R,5.019140,5.412724,4.692454,6.031929,2.948567,7.249310,5.359852,5.282473,0.584475,0.110644,-0.263333,-0.049850,-0.450546
r,0.841303,1.732463,0.515670,1.901662,0.107553,2.414317,1.139076,1.301790,0.358409,0.275320,-0.460487,-0.353734,-1.284809
Sb,0.156862,0.179210,0.149929,0.185863,0.142545,0.208498,0.165213,0.171876,0.009962,0.057960,-0.015014,-0.087354,-1.507127
Ra,0.578431,0.589605,0.574964,0.592932,0.571273,0.604249,0.582606,0.585938,0.004981,0.008501,-0.007507,-0.012812,-1.507127
Rb,0.078431,0.089605,0.074964,0.092932,0.071273,0.104249,0.082606,0.085938,0.004981,0.057960,-0.007507,-0.087354,-1.507127
Va,0.606629,0.596595,0.616003,0.589452,0.659904,0.580590,0.602715,0.607543,0.011562,0.019031,-0.000914,-0.001504,-0.079052
Vb,0.361683,0.380903,0.347577,0.382013,0.396823,0.388001,0.359111,0.375738,0.007595,0.020214,-0.014055,-0.037406,-1.850560
L_Vf,0.410000,0.420000,0.405000,0.425000,0.355000,0.435000,0.415000,0.409167,0.011577,0.028294,0.000833,0.002036,0.071953
L_Sf,0.146441,0.155522,0.144609,0.156412,0.135785,0.164337,0.149121,0.150964,0.004097,0.027139,-0.004523,-0.029961,-1.103979
U_Vf,0.455000,0.465000,0.450000,0.470000,0.400000,0.480000,0.460000,0.454167,0.011577,0.025491,0.000833,0.001834,0.071953
U_Sf,0.190282,0.238463,0.172620,0.247895,0.144547,0.279082,0.206190,0.214800,0.020475,0.095321,-0.024518,-0.114143,-1.197460
