METRIC,composite,P2020,P2016,S2020,S2018,G2019,AG2019,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.431865,0.416150,0.409102,0.449224,0.402936,0.474233,0.421713,0.428893,0.011178,0.026062,0.002972,0.006929,0.265879
Sf,0.250587,0.250145,0.249926,0.251988,0.249123,0.267426,0.250004,0.253102,0.002891,0.011422,-0.002515,-0.009937,-0.869941
EG,0.113143,0.082155,0.068278,0.146460,0.056749,0.181040,0.093422,0.104684,0.019860,0.189714,0.008459,0.080805,0.425932
PR,0.181278,0.166005,0.159176,0.197236,0.153813,0.206807,0.171709,0.175791,0.008743,0.049735,0.005487,0.031213,0.627588
GAMMA,0.245442,0.246904,0.247834,0.241739,0.242109,0.212372,0.247188,0.239691,0.005570,0.023238,0.005751,0.023993,1.032496
BS_50,0.196596,0.185131,0.201694,0.198471,0.196322,0.189964,0.201682,0.195544,0.002734,0.013982,0.001052,0.005380,0.384784
BV_50,0.042696,0.039296,0.044684,0.041265,0.040039,0.043853,0.043816,0.042159,0.000922,0.021870,0.000537,0.012737,0.582430
BS_V,0.032592,-0.030692,-0.036978,0.089232,-0.072636,0.165170,-0.003531,0.018428,0.036880,2.001302,0.014164,0.768613,0.384056
GS,0.068636,0.069692,0.075449,0.065708,0.071132,0.056312,0.069749,0.068007,0.002665,0.039187,0.000629,0.009249,0.236023
MM,0.061238,0.058140,0.065692,0.058708,0.065269,0.055659,0.066649,0.061686,0.001926,0.031223,-0.000448,-0.007263,-0.232606
LO,-0.003792,-0.027222,0.000000,0.030243,0.000000,0.046800,-0.031810,0.003002,0.012654,4.215190,-0.006794,-2.263158,-0.536905
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,nan
R,3.660566,2.979780,2.751149,4.884430,2.584656,9.026031,3.193322,4.236561,1.015904,0.239794,-0.575995,-0.135958,-0.566978
r,0.058279,0.035186,0.024639,0.123540,0.090335,0.784032,0.035868,0.182267,0.121372,0.665902,-0.123988,-0.680255,-1.021554
Sb,0.250587,0.250145,0.249926,0.251988,0.249123,0.267426,0.250004,0.253102,0.002891,0.011422,-0.002515,-0.009937,-0.869941
Ra,0.625294,0.625073,0.624963,0.625994,0.624561,0.633713,0.625002,0.626551,0.001445,0.002306,-0.001257,-0.002006,-0.869896
Rb,0.125294,0.125073,0.124963,0.125994,0.124561,0.133713,0.125002,0.126551,0.001445,0.011418,-0.001257,-0.009933,-0.869896
Va,0.645864,0.658895,0.674973,0.623260,0.672521,0.602262,0.657871,0.648297,0.011900,0.018356,-0.002433,-0.003753,-0.204454
Vb,0.357928,0.368326,0.368884,0.346498,0.392650,0.350939,0.373939,0.366873,0.006806,0.018551,-0.008945,-0.024382,-1.314282
L_Vf,0.410000,0.395000,0.385000,0.425000,0.380000,0.450000,0.400000,0.405833,0.010910,0.026883,0.004167,0.010268,0.381943
L_Sf,0.249387,0.248477,0.247659,0.250042,0.241413,0.254810,0.247692,0.248349,0.001767,0.007115,0.001038,0.004180,0.587436
U_Vf,0.455000,0.440000,0.430000,0.470000,0.425000,0.495000,0.445000,0.450833,0.010910,0.024200,0.004167,0.009243,0.381943
U_Sf,0.253859,0.251899,0.250380,0.259114,0.249991,0.298462,0.251470,0.260219,0.007769,0.029856,-0.006360,-0.024441,-0.818638
