METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.352101,Vf,0.357876,Vf,0.357162,Vf,0.334705,Vf,0.377019,Vf,0.327184,Vf,0.364374
Sf,0.005055,Sf,0.011813,Sf,0.005727,Sf,0.001934,Sf,0.022089,Sf,0.000306,Sf,0.008540
EG,0.199147,EG,0.203939,EG,0.208597,EG,0.167476,EG,0.231949,EG,0.154062,EG,0.220208
PR,0.347046,PR,0.346063,PR,0.351435,PR,0.332771,PR,0.354930,PR,0.326878,PR,0.355834
GAMMA,0.448343,GAMMA,0.395702,GAMMA,0.444483,GAMMA,0.475506,GAMMA,0.351996,GAMMA,0.495145,GAMMA,0.425232
BS_50,0.027516,BS_50,0.024273,BS_50,0.028859,BS_50,0.014510,BS_50,0.042372,BS_50,0.022265,BS_50,0.032403
BV_50,0.003699,BV_50,0.003934,BV_50,0.003604,BV_50,0.002427,BV_50,0.005600,BV_50,0.002662,BV_50,0.004199
BS_V,-0.002249,BS_V,-0.005060,BS_V,-0.002570,BS_V,-0.000868,BS_V,-0.009256,BS_V,-0.000140,BS_V,-0.003649
GS,0.007152,GS,0.008145,GS,0.007287,GS,0.005547,GS,0.010068,GS,0.004402,GS,0.007398
MM,0.011072,MM,0.008836,MM,0.014373,MM,0.004047,MM,0.019498,MM,0.010422,MM,0.013374
LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000
DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000
R,3.346509,R,3.434937,R,3.460372,R,3.013195,R,3.886054,R,2.891478,R,3.623645
r,0.315093,r,0.650732,r,0.348572,r,0.136483,r,1.023855,r,0.026323,r,0.488318
Sb,0.005055,Sb,0.011813,Sb,0.005727,Sb,0.001934,Sb,0.022089,Sb,0.000306,Sb,0.008540
Ra,0.502527,Ra,0.505907,Ra,0.502864,Ra,0.500967,Ra,0.511045,Ra,0.500153,Ra,0.504270
Rb,0.002527,Rb,0.005907,Rb,0.002864,Rb,0.000967,Rb,0.011045,Rb,0.000153,Rb,0.004270
Va,0.650545,Va,0.645926,Va,0.644810,Va,0.668394,Va,0.627192,Va,0.675121,Va,0.638787
Vb,0.500000,Vb,0.500000,Vb,0.500000,Vb,0.500000,Vb,0.500000,Vb,0.500000,Vb,0.500000
L_Vf,0.330000,L_Vf,0.335000,L_Vf,0.335000,L_Vf,0.310000,L_Vf,0.355000,L_Vf,0.305000,L_Vf,0.340000
L_Sf,0.000849,L_Sf,0.002221,L_Sf,0.001007,L_Sf,0.000188,L_Sf,0.005629,L_Sf,0.000030,L_Sf,0.001388
U_Vf,0.375000,U_Vf,0.380000,U_Vf,0.380000,U_Vf,0.355000,U_Vf,0.400000,U_Vf,0.350000,U_Vf,0.385000
U_Sf,0.015832,U_Sf,0.030579,U_Sf,0.017456,U_Sf,0.006490,U_Sf,0.050988,U_Sf,0.001559,U_Sf,0.022152
