METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2018,METRIC,G2018,METRIC,AG2018
Vf,0.518684,Vf,0.514135,Vf,0.498823,Vf,0.508587,Vf,0.533186,Vf,0.549283,Vf,0.514567
Sf,0.520773,Sf,0.520728,Sf,0.436910,Sf,0.496730,Sf,0.564211,Sf,0.618476,Sf,0.487327
EG,0.016595,EG,0.007542,EG,0.060736,EG,0.020444,EG,0.002161,EG,-0.019910,EG,0.041807
PR,-0.002089,PR,-0.006593,PR,0.061913,PR,0.011857,PR,-0.031025,PR,-0.069193,PR,0.027240
GAMMA,0.044090,GAMMA,0.027552,GAMMA,0.059234,GAMMA,0.032998,GAMMA,0.046254,GAMMA,0.019729,GAMMA,0.061854
BS_50,0.044526,BS_50,0.027553,BS_50,0.059095,BS_50,0.032997,BS_50,0.050413,BS_50,0.042998,BS_50,0.061404
BV_50,0.012668,BV_50,0.008044,BV_50,0.016565,BV_50,0.009513,BV_50,0.014144,BV_50,0.011870,BV_50,0.018108
BS_V,0.043634,BS_V,0.027045,BS_V,0.058982,BS_V,0.033016,BS_V,0.049196,BS_V,0.045843,BS_V,0.060228
GS,0.021196,GS,0.014678,GS,0.026431,GS,0.019189,GS,0.022141,GS,0.020285,GS,0.026504
MM,0.010317,MM,0.009316,MM,0.018953,MM,0.005155,MM,0.012152,MM,0.005950,MM,0.016734
LO,0.038159,LO,0.030147,LO,0.029340,LO,0.028980,LO,0.052676,LO,0.065064,LO,0.042409
DECL,6.094134,DECL,4.375146,DECL,10.911106,DECL,6.031825,DECL,6.355977,DECL,5.107033,DECL,9.411732
R,1.111804,R,1.466441,R,53.602634,R,-0.380824,R,1.934896,R,2.403997,R,-0.870003
r,3.471564,r,3.415661,r,3.276719,r,3.461977,r,3.328676,r,2.804312,r,3.376173
Sb,0.520773,Sb,0.520728,Sb,0.436910,Sb,0.496730,Sb,0.564211,Sb,0.618476,Sb,0.487327
Ra,0.760386,Ra,0.760364,Ra,0.718455,Ra,0.748365,Ra,0.782106,Ra,0.809238,Ra,0.743663
Rb,0.260386,Rb,0.260364,Rb,0.218455,Rb,0.248365,Rb,0.282106,Rb,0.309238,Rb,0.243663
Va,0.575438,Va,0.583328,Va,0.589481,Va,0.581715,Va,0.560300,Va,0.555248,Va,0.575447
Vb,0.386404,Vb,0.386524,Vb,0.381179,Vb,0.389305,Vb,0.387024,Vb,0.379689,Vb,0.382143
L_Vf,0.495000,L_Vf,0.490000,L_Vf,0.475000,L_Vf,0.485000,L_Vf,0.510000,L_Vf,0.525000,L_Vf,0.490000
L_Sf,0.437984,L_Sf,0.438670,L_Sf,0.364095,L_Sf,0.415204,L_Sf,0.485340,L_Sf,0.545429,L_Sf,0.406295
U_Vf,0.540000,U_Vf,0.535000,U_Vf,0.520000,U_Vf,0.530000,U_Vf,0.555000,U_Vf,0.570000,U_Vf,0.535000
U_Sf,0.594687,U_Sf,0.591778,U_Sf,0.512598,U_Sf,0.570338,U_Sf,0.641314,U_Sf,0.686478,U_Sf,0.560617
