CD,composite,CD,P2020,CD,P2016,CD,S2018,CD,S2016,CD,G2018,CD,AG2018
1,0.510221,1,0.542949,1,0.520551,1,0.556911,1,0.404411,1,0.516357,1,0.522745
2,0.295657,2,0.270123,2,0.273918,2,0.373109,2,0.258774,2,0.316391,2,0.312346
3,0.688017,3,0.722134,3,0.701222,3,0.735743,3,0.592837,3,0.700888,3,0.674943
4,0.317835,4,0.318743,4,0.303741,4,0.397133,4,0.251332,4,0.334177,4,0.322214
5,0.382441,5,0.363907,5,0.368360,5,0.475192,5,0.318279,5,0.398743,5,0.401544
6,0.399583,6,0.354398,6,0.371734,6,0.488390,6,0.366436,6,0.425436,6,0.423447
7,0.451666,7,0.453306,7,0.440063,7,0.523194,7,0.357148,7,0.467666,7,0.482589
8,0.371489,8,0.388252,8,0.364743,8,0.428705,8,0.291106,8,0.381507,8,0.388716
9,0.500755,9,0.485156,9,0.495040,9,0.584724,9,0.426687,9,0.520150,9,0.517126
10,0.464657,10,0.482097,10,0.468079,10,0.533921,10,0.376952,10,0.467075,10,0.470262
11,0.795694,11,0.791042,11,0.811480,11,0.832590,11,0.733132,11,0.800094,11,0.810638
12,0.358179,12,0.343327,12,0.345905,12,0.437239,12,0.300736,12,0.379644,12,0.365703
13,0.518951,13,0.514297,13,0.511002,13,0.578068,13,0.445386,13,0.538388,13,0.538641
14,0.445337,14,0.424261,14,0.428628,14,0.527020,14,0.376804,14,0.467876,14,0.470173
15,0.453935,15,0.465644,15,0.445571,15,0.527315,15,0.364108,15,0.479387,15,0.454671
