METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2016,METRIC,G2019,METRIC,AG2019
Vf,0.390775,Vf,0.405356,Vf,0.398283,Vf,0.365809,Vf,0.369603,Vf,0.477699,Vf,0.337884
Sf,0.166735,Sf,0.166869,Sf,0.166913,Sf,0.166677,Sf,0.166735,Sf,0.196702,Sf,0.166667
EG,0.114815,EG,0.143843,EG,0.129653,EG,0.064941,EG,0.072471,EG,0.258696,EG,0.009101
PR,0.224040,PR,0.238487,PR,0.231370,PR,0.199132,PR,0.202868,PR,0.280997,PR,0.171217
GAMMA,0.332430,GAMMA,0.331103,GAMMA,0.331141,GAMMA,0.333143,GAMMA,0.332588,GAMMA,0.271644,GAMMA,0.333328
BS_50,0.237288,BS_50,0.252336,BS_50,0.234249,BS_50,0.233908,BS_50,0.185425,BS_50,0.249361,BS_50,0.218051
BV_50,0.040633,BV_50,0.044535,BV_50,0.043221,BV_50,0.040107,BV_50,0.035007,BV_50,0.043214,BV_50,0.033739
BS_V,-0.052671,BS_V,-0.018004,BS_V,-0.029000,BS_V,-0.076994,BS_V,-0.070924,BS_V,0.223688,BS_V,-0.082861
GS,0.091438,GS,0.094595,GS,0.092531,GS,0.093064,GS,0.082687,GS,0.084668,GS,0.089058
MM,0.057438,MM,0.066573,MM,0.064467,MM,0.066617,MM,0.044567,MM,0.059121,MM,0.049693
LO,0.074207,LO,0.100446,LO,0.094730,LO,0.029169,LO,0.024450,LO,0.176570,LO,-0.029560
DECL,48.537871,DECL,50.796453,DECL,50.017484,DECL,44.219153,DECL,44.049761,DECL,57.326955,DECL,38.536507
R,3.051182,R,3.519836,R,3.274647,R,2.483941,R,2.555775,R,13.600195,R,2.056141
r,0.007647,r,0.021434,r,0.019137,r,0.001338,r,0.005198,r,1.419385,r,0.000030
Sb,0.166735,Sb,0.166869,Sb,0.166913,Sb,0.166677,Sb,0.166735,Sb,0.196702,Sb,0.166667
Ra,0.583367,Ra,0.583434,Ra,0.583456,Ra,0.583339,Ra,0.583367,Ra,0.598351,Ra,0.583333
Rb,0.083367,Rb,0.083434,Rb,0.083456,Rb,0.083339,Rb,0.083367,Rb,0.098351,Rb,0.083333
Va,0.678758,Va,0.667549,Va,0.675029,Va,0.704796,Va,0.697525,Va,0.586817,Va,0.726386
Vb,0.247034,Vb,0.232005,Vb,0.230241,Vb,0.266035,Vb,0.278025,Vb,0.236613,Vb,0.303174
L_Vf,0.370000,L_Vf,0.385000,L_Vf,0.375000,L_Vf,0.345000,L_Vf,0.345000,L_Vf,0.455000,L_Vf,0.315000
L_Sf,0.166677,L_Sf,0.166704,L_Sf,0.166701,L_Sf,0.166668,L_Sf,0.166672,L_Sf,0.176656,L_Sf,0.166651
U_Vf,0.415000,U_Vf,0.430000,U_Vf,0.420000,U_Vf,0.390000,U_Vf,0.390000,U_Vf,0.500000,U_Vf,0.360000
U_Sf,0.167264,U_Sf,0.168187,U_Sf,0.168061,U_Sf,0.166781,U_Sf,0.167074,U_Sf,0.250639,U_Sf,0.166668
