Vf,composite,P2020,P2016,S2018,S2016,G2020,AG2020,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
0.250000,0.000854,0.003999,0.005123,0.000294,0.000127,0.005058,0.002271,0.002812,0.000924,0.328592,-0.001958,-0.696302,-2.119048
0.255000,0.001462,0.006273,0.007909,0.000528,0.000236,0.007813,0.003689,0.004408,0.001418,0.321688,-0.002946,-0.668330,-2.077574
0.260000,0.002411,0.009463,0.011738,0.000913,0.000422,0.011601,0.005769,0.006651,0.002088,0.313938,-0.004240,-0.637498,-2.030651
0.265000,0.003838,0.013736,0.016764,0.001527,0.000731,0.016575,0.008687,0.009670,0.002954,0.305481,-0.005832,-0.603102,-1.974272
0.270000,0.005896,0.019207,0.023068,0.002471,0.001227,0.022814,0.012610,0.013566,0.004016,0.296034,-0.007670,-0.565384,-1.909861
0.275000,0.008749,0.025899,0.030625,0.003866,0.001996,0.030292,0.017659,0.018389,0.005254,0.285714,-0.009640,-0.524226,-1.834793
0.280000,0.012551,0.033723,0.039293,0.005856,0.003146,0.038859,0.023879,0.024126,0.006616,0.274227,-0.011575,-0.479773,-1.749547
0.285000,0.017418,0.042465,0.048814,0.008590,0.004810,0.048253,0.031220,0.030692,0.008029,0.261599,-0.013274,-0.432491,-1.653257
0.290000,0.023412,0.051804,0.058850,0.012212,0.007135,0.058123,0.039518,0.037940,0.009399,0.247733,-0.014528,-0.382920,-1.545696
0.295000,0.030511,0.061349,0.069033,0.016840,0.010277,0.068086,0.048505,0.045682,0.010624,0.232564,-0.015171,-0.332100,-1.427993
0.300000,0.038609,0.070689,0.079020,0.022545,0.014385,0.077782,0.057839,0.053710,0.011609,0.216142,-0.015101,-0.281158,-1.300801
0.305000,0.047513,0.079453,0.088553,0.029338,0.019582,0.086935,0.067140,0.061833,0.012280,0.198599,-0.014320,-0.231592,-1.166124
0.310000,0.056967,0.087365,0.097492,0.037154,0.025953,0.095389,0.076050,0.069901,0.012593,0.180155,-0.012934,-0.185033,-1.027079
0.315000,0.066686,0.094272,0.105827,0.045859,0.033525,0.103126,0.084279,0.077815,0.012544,0.161203,-0.011129,-0.143019,-0.887197
0.320000,0.076396,0.100155,0.113659,0.055259,0.042260,0.110250,0.091642,0.085538,0.012169,0.142264,-0.009142,-0.106876,-0.751253
0.325000,0.085871,0.105121,0.121165,0.065125,0.052055,0.116953,0.098076,0.093082,0.011537,0.123944,-0.007211,-0.077469,-0.625033
0.330000,0.094962,0.109370,0.128545,0.075224,0.062749,0.123469,0.103639,0.100499,0.010750,0.106966,-0.005537,-0.055095,-0.515070
0.335000,0.103613,0.113158,0.135978,0.085345,0.074139,0.130023,0.108490,0.107855,0.009924,0.092012,-0.004242,-0.039331,-0.427449
0.340000,0.111852,0.116760,0.143582,0.095327,0.085997,0.136792,0.112852,0.115218,0.009179,0.079666,-0.003366,-0.029214,-0.366707
0.345000,0.119769,0.120436,0.151395,0.105069,0.098094,0.143877,0.116979,0.122642,0.008614,0.070237,-0.002873,-0.023426,-0.333527
0.350000,0.127490,0.124404,0.159368,0.114531,0.110213,0.151289,0.121121,0.130154,0.008280,0.063617,-0.002664,-0.020468,-0.321739
0.355000,0.135139,0.128831,0.167381,0.123721,0.122162,0.158957,0.125493,0.137758,0.008159,0.059227,-0.002619,-0.019012,-0.320995
0.360000,0.142808,0.133819,0.175263,0.132674,0.133778,0.166744,0.130261,0.145423,0.008181,0.056257,-0.002615,-0.017982,-0.319643
0.365000,0.150539,0.139406,0.182823,0.141428,0.144924,0.172393,0.135528,0.152750,0.008071,0.052838,-0.002211,-0.014475,-0.273944
0.370000,0.158313,0.145566,0.189876,0.150004,0.155488,0.176661,0.141329,0.159821,0.007847,0.049099,-0.001508,-0.009436,-0.192175
0.375000,0.166056,0.152222,0.196268,0.158393,0.165375,0.180833,0.147636,0.166788,0.007567,0.045369,-0.000732,-0.004389,-0.096736
0.380000,0.173652,0.159249,0.201891,0.166550,0.174507,0.184878,0.154367,0.173574,0.007197,0.041464,0.000078,0.000449,0.010838
0.385000,0.180962,0.166492,0.206693,0.174401,0.182824,0.188764,0.161396,0.180095,0.006726,0.037347,0.000867,0.004814,0.128903
0.390000,0.187843,0.173780,0.210675,0.181851,0.190282,0.192468,0.168566,0.186270,0.006162,0.033081,0.001573,0.008445,0.255274
0.395000,0.194171,0.180943,0.213885,0.188807,0.196865,0.195972,0.175707,0.192030,0.005527,0.028782,0.002141,0.011149,0.387371
0.400000,0.199856,0.187826,0.216164,0.195187,0.202585,0.199268,0.182654,0.197281,0.004818,0.024422,0.002575,0.013052,0.534454
0.405000,0.204846,0.194304,0.217321,0.200938,0.207483,0.202355,0.189258,0.201943,0.004032,0.019966,0.002903,0.014375,0.719990
