METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2016,METRIC,G2018,METRIC,AG2020
Vf,0.574982,Vf,0.583171,Vf,0.561709,Vf,0.591474,Vf,0.629362,Vf,0.534268,Vf,0.575202
Sf,0.771787,Sf,0.795960,Sf,0.725497,Sf,0.806774,Sf,0.901699,Sf,0.592327,Sf,0.775198
EG,-0.121823,EG,-0.129618,EG,-0.102079,EG,-0.123826,EG,-0.142975,EG,-0.023791,EG,-0.124794
PR,-0.196805,PR,-0.212789,PR,-0.163788,PR,-0.215300,PR,-0.272337,PR,-0.058059,PR,-0.199996
GAMMA,-0.088317,GAMMA,-0.150755,GAMMA,-0.008309,GAMMA,-0.179236,GAMMA,-0.179883,GAMMA,0.048835,GAMMA,-0.098849
BS_50,0.022031,BS_50,0.012696,BS_50,0.032871,BS_50,0.014516,BS_50,0.038334,BS_50,0.041016,BS_50,0.018731
BV_50,0.005274,BV_50,0.002932,BV_50,0.008125,BV_50,0.003361,BV_50,0.008551,BV_50,0.011125,BV_50,0.004428
BS_V,-0.009442,BS_V,-0.007259,BS_V,-0.015517,BS_V,0.010429,BS_V,0.034561,BS_V,0.025265,BS_V,-0.009231
GS,0.016386,GS,0.019196,GS,0.017492,GS,0.017862,GS,0.017075,GS,0.011989,GS,0.016162
MM,0.017636,MM,0.016657,MM,0.020379,MM,0.016836,MM,0.027006,MM,0.018501,MM,0.016897
LO,0.040329,LO,0.035505,LO,0.033531,LO,0.051599,LO,0.000000,LO,0.032220,LO,0.040327
DECL,-17.658945,DECL,-24.305746,DECL,-13.253651,DECL,-21.771419,DECL,0.000000,DECL,0.167451,DECL,-18.031417
R,3.624693,R,3.558446,R,3.654205,R,3.353680,R,3.105234,R,2.694267,R,3.659450
r,2.446850,r,1.745852,r,3.519557,r,1.394258,r,1.714692,r,4.119350,r,2.345000
Sb,0.771787,Sb,0.795960,Sb,0.725497,Sb,0.806774,Sb,0.901699,Sb,0.592327,Sb,0.775198
Ra,0.885893,Ra,0.897980,Ra,0.862749,Ra,0.903387,Ra,0.950850,Ra,0.796164,Ra,0.887599
Rb,0.385893,Rb,0.397980,Rb,0.362749,Rb,0.403387,Rb,0.450850,Rb,0.296164,Rb,0.387599
Va,0.579718,Va,0.592149,Va,0.582389,Va,0.580961,Va,0.501865,Va,0.569002,Va,0.579203
Vb,0.379952,Vb,0.372346,Vb,0.384079,Vb,0.367440,Vb,0.355642,Vb,0.398778,Vb,0.380470
L_Vf,0.550000,L_Vf,0.560000,L_Vf,0.540000,L_Vf,0.570000,L_Vf,0.605000,L_Vf,0.510000,L_Vf,0.555000
L_Sf,0.695461,L_Sf,0.741927,L_Sf,0.641736,L_Sf,0.767078,L_Sf,0.859413,L_Sf,0.495654,L_Sf,0.717733
U_Vf,0.595000,U_Vf,0.605000,U_Vf,0.585000,U_Vf,0.615000,U_Vf,0.650000,U_Vf,0.555000,U_Vf,0.600000
U_Sf,0.811029,U_Sf,0.823778,U_Sf,0.791978,U_Sf,0.833451,U_Sf,0.950404,U_Sf,0.684298,U_Sf,0.819056
