CD,composite,CD,P2020,CD,P2016,CD,S2018,CD,S2016,CD,G2018,CD,AG2018
1,0.307694,1,0.335617,1,0.299506,1,0.323245,1,0.267295,1,0.321933,1,0.296586
2,0.445542,2,0.444459,2,0.437874,2,0.472377,2,0.424514,2,0.461787,2,0.437862
3,0.428046,3,0.428797,3,0.423294,3,0.455601,3,0.408038,3,0.440918,3,0.414561
4,0.447283,4,0.466081,4,0.445646,4,0.463825,4,0.387474,4,0.475427,4,0.445355
5,0.385095,5,0.420084,5,0.384682,5,0.401111,5,0.312641,5,0.410636,5,0.374640
6,0.380664,6,0.380566,6,0.378488,6,0.395760,6,0.376112,6,0.393160,6,0.362988
7,0.460000,7,0.471974,7,0.459375,7,0.479273,7,0.429931,7,0.476707,7,0.440432
8,0.399072,8,0.410811,8,0.391808,8,0.422397,8,0.380560,8,0.408559,8,0.378370
9,0.599954,9,0.588012,9,0.637445,9,0.597956,9,0.572465,9,0.617975,9,0.588577
10,0.652988,10,0.660744,10,0.669592,10,0.664988,10,0.608673,10,0.674815,10,0.638535
11,0.421313,11,0.445176,11,0.422202,11,0.427355,11,0.394508,11,0.431020,11,0.399441
12,0.361823,12,0.354973,12,0.351944,12,0.385987,12,0.375210,12,0.374669,12,0.333536
13,0.462321,13,0.465819,13,0.458888,13,0.492356,13,0.453709,13,0.478947,13,0.422675
14,0.596103,14,0.597021,14,0.613936,14,0.613406,14,0.570501,14,0.618380,14,0.563046
15,0.476382,15,0.484142,15,0.479903,15,0.493718,15,0.455552,15,0.495462,15,0.448273
16,0.436321,16,0.455103,16,0.434116,16,0.449061,16,0.411538,16,0.450589,16,0.411215
17,0.414837,17,0.419625,17,0.414224,17,0.434725,17,0.393313,17,0.426260,17,0.400524
18,0.383153,18,0.384775,18,0.389155,18,0.395361,18,0.379382,18,0.390885,18,0.360178
19,0.366129,19,0.394116,19,0.380262,19,0.378891,19,0.320049,19,0.371957,19,0.344459
20,0.786330,20,0.763421,20,0.792356,20,0.799986,20,0.771333,20,0.804171,20,0.794706
21,0.455483,21,0.452478,21,0.447046,21,0.469995,21,0.461640,21,0.465182,21,0.437289
22,0.596207,22,0.588620,22,0.603623,22,0.610275,22,0.570765,22,0.612992,22,0.594633
23,0.571992,23,0.566332,23,0.573003,23,0.590715,23,0.548725,23,0.582710,23,0.575845
24,0.796482,24,0.746650,24,0.824289,24,0.813687,24,0.775599,24,0.820454,24,0.813251
25,0.627720,25,0.600163,25,0.646545,25,0.649148,25,0.604244,25,0.640997,25,0.636982
26,0.444431,26,0.407862,26,0.518341,26,0.448547,26,0.415690,26,0.450670,26,0.435160
27,0.529924,27,0.498392,27,0.589335,27,0.544974,27,0.487987,27,0.537787,27,0.530245
28,0.517459,28,0.468084,28,0.580430,28,0.534525,28,0.488544,28,0.531266,28,0.519998
